epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,65.2884,1.58021,6.12396,0.00225,0.73784,0.16688,0.24829,0.19116,1.24113,5.88661,0.00263,0.000329545,0.000329545,0.000329545
2,93.1032,1.52548,4.2286,0.00211,0.51215,0.55642,0.53648,0.38303,1.25624,4.16732,0.00275,0.000656316,0.000656316,0.000656316
3,121.722,1.51418,3.4916,0.00201,0.48429,0.62417,0.60074,0.42149,1.30973,3.68505,0.00274,0.000976487,0.000976487,0.000976487
4,150.284,1.48833,3.03301,0.002,0.609,0.69079,0.71992,0.52518,1.21075,2.98137,0.0026,0.0009703,0.0009703,0.0009703
5,176.946,1.46938,2.67361,0.00196,0.68065,0.72296,0.74004,0.54136,1.16297,2.57447,0.0025,0.0009604,0.0009604,0.0009604
6,204.967,1.42906,2.39411,0.00194,0.73821,0.73667,0.79704,0.58562,1.21418,2.32928,0.00257,0.0009505,0.0009505,0.0009505
7,232.775,1.3729,2.132,0.00184,0.70152,0.74132,0.78814,0.57021,1.27221,2.05963,0.00287,0.0009406,0.0009406,0.0009406
8,260.259,1.379,1.88122,0.00189,0.73157,0.76607,0.8265,0.61127,1.18144,1.76376,0.00255,0.0009307,0.0009307,0.0009307
9,287.97,1.39811,1.71699,0.00187,0.72042,0.78862,0.82625,0.60526,1.181,1.61158,0.00256,0.0009208,0.0009208,0.0009208
10,313.71,1.34952,1.52067,0.00179,0.78704,0.78497,0.85974,0.64108,1.15976,1.42482,0.00255,0.0009109,0.0009109,0.0009109
11,341.535,1.37384,1.42646,0.00183,0.79159,0.80051,0.86777,0.64472,1.17403,1.31427,0.00258,0.000901,0.000901,0.000901
12,369.488,1.33094,1.33983,0.00184,0.72894,0.80809,0.8441,0.62334,1.16963,1.26079,0.00255,0.0008911,0.0008911,0.0008911
13,397.643,1.32091,1.2598,0.0018,0.81155,0.79564,0.87848,0.66297,1.11515,1.10596,0.00236,0.0008812,0.0008812,0.0008812
14,424.705,1.37482,1.23003,0.00184,0.79732,0.81062,0.87856,0.65934,1.12202,1.10192,0.0024,0.0008713,0.0008713,0.0008713
15,451.393,1.31955,1.13368,0.00182,0.82742,0.80802,0.88375,0.6787,1.09509,0.97557,0.00231,0.0008614,0.0008614,0.0008614
